date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Cassava,KG,actual,Retail,RWF,200.0,0.1909
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,400.0,0.3818
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Maize,KG,actual,Retail,RWF,310.0,0.2959
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Potatoes,KG,actual,Retail,RWF,200.0,0.1909
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,300.0,0.2864
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,800.0,0.7637
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Rice (local),KG,actual,Retail,RWF,700.0,0.6682
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Sorghum,KG,actual,Retail,RWF,250.0,0.2386
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,1500.0,1.4319
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,1600.0,1.5274
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,miscellaneous food,Salt,KG,actual,Retail,RWF,300.0,0.2864
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,miscellaneous food,Sugar,KG,actual,Retail,RWF,800.0,0.7637
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,oil and fats,Oil,L,actual,Retail,RWF,1700.0,1.6228
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,oil and fats,Oil (palm),L,actual,Retail,RWF,1050.0,1.0023
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,500.0,0.4773
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,vegetables and fruits,Bananas,KG,actual,Retail,RWF,200.0,0.1909
2016-09-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,vegetables and fruits,Cassava leaves,KG,actual,Retail,RWF,500.0,0.4773
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Cassava,KG,actual,Retail,RWF,250.0,0.2386
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,400.0,0.3818
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Maize,KG,actual,Retail,RWF,315.0,0.3007
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Potatoes,KG,actual,Retail,RWF,250.0,0.2386
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,310.0,0.2959
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,800.0,0.7637
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Rice (local),KG,actual,Retail,RWF,680.0,0.6491
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Sorghum,KG,actual,Retail,RWF,325.0,0.3102
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,1500.0,1.4319
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,1600.0,1.5274
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,miscellaneous food,Salt,KG,actual,Retail,RWF,300.0,0.2864
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,miscellaneous food,Sugar,KG,actual,Retail,RWF,900.0,0.8591
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,oil and fats,Oil,L,actual,Retail,RWF,1700.0,1.6228
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,oil and fats,Oil (palm),L,actual,Retail,RWF,1000.0,0.9546
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,500.0,0.4773
2016-10-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,vegetables and fruits,Bananas,KG,actual,Retail,RWF,275.0,0.2625
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Cassava,KG,actual,Retail,RWF,200.0,0.1909
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,340.0,0.3246
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Maize,KG,actual,Retail,RWF,350.0,0.3341
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Potatoes,KG,actual,Retail,RWF,180.0,0.1718
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,200.0,0.1909
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Rice (local),KG,actual,Retail,RWF,650.0,0.6205
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Sorghum,KG,actual,Retail,RWF,350.0,0.3341
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,2150.0,2.0524
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,miscellaneous food,Salt,KG,actual,Retail,RWF,300.0,0.2864
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,miscellaneous food,Sugar,KG,actual,Retail,RWF,850.0,0.8114
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,oil and fats,Oil,L,actual,Retail,RWF,1650.0,1.5751
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,oil and fats,Oil (palm),L,actual,Retail,RWF,1200.0,1.1455
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,495.0,0.4725
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,vegetables and fruits,Bananas,KG,actual,Retail,RWF,200.0,0.1909
2016-10-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,vegetables and fruits,Cassava leaves,KG,actual,Retail,RWF,400.0,0.3818
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Cassava,KG,actual,Retail,RWF,200.0,0.1909
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,350.0,0.3341
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Maize,KG,actual,Retail,RWF,330.0,0.315
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Potatoes,KG,actual,Retail,RWF,200.0,0.1909
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,300.0,0.2864
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Rice (imported),KG,actual,Retail,RWF,900.0,0.8591
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Rice (local),KG,actual,Retail,RWF,750.0,0.7159
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,cereals and tubers,Sorghum,KG,actual,Retail,RWF,400.0,0.3818
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,1500.0,1.4319
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,"meat, fish and eggs",Meat (beef),KG,actual,Retail,RWF,1600.0,1.5274
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,miscellaneous food,Salt,KG,actual,Retail,RWF,400.0,0.3818
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,miscellaneous food,Sugar,KG,actual,Retail,RWF,1000.0,0.9546
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,oil and fats,Oil,L,actual,Retail,RWF,1600.0,1.5274
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,oil and fats,Oil (palm),L,actual,Retail,RWF,1000.0,0.9546
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,600.0,0.5728
2016-11-15,Eastern Province,Gatsibo,Nyabiheke (Camp),-1.595354676246643,30.25930404663086,vegetables and fruits,Bananas,KG,actual,Retail,RWF,200.0,0.1909
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,cereals and tubers,Cassava,KG,actual,Retail,RWF,200.0,0.1909
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,450.0,0.4296
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,cereals and tubers,Maize,KG,actual,Retail,RWF,520.0,0.4964
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,cereals and tubers,Potatoes,KG,actual,Retail,RWF,200.0,0.1909
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,250.0,0.2386
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,cereals and tubers,Rice (local),KG,actual,Retail,RWF,700.0,0.6682
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,cereals and tubers,Sorghum,KG,actual,Retail,RWF,400.0,0.3818
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,"meat, fish and eggs",Fish (dry),KG,actual,Retail,RWF,2200.0,2.1001
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,miscellaneous food,Salt,KG,actual,Retail,RWF,300.0,0.2864
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,miscellaneous food,Sugar,KG,actual,Retail,RWF,1000.0,0.9546
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,oil and fats,Oil,L,actual,Retail,RWF,1200.0,1.1455
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,oil and fats,Oil (palm),L,actual,Retail,RWF,1400.0,1.3364
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,pulses and nuts,Beans (dry),KG,actual,Retail,RWF,400.0,0.3818
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,vegetables and fruits,Bananas,KG,actual,Retail,RWF,267.0,0.2549
2016-11-15,Southern Province,Gisagara,Mugombwa (Camp),-2.6749558448791504,29.849607467651367,vegetables and fruits,Cassava leaves,KG,actual,Retail,RWF,200.0,0.1909
2016-11-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Cassava,KG,actual,Retail,RWF,250.0,0.2386
2016-11-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Cassava flour,KG,actual,Retail,RWF,405.0,0.3866
2016-11-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Maize,KG,actual,Retail,RWF,450.0,0.4296
2016-11-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Potatoes,KG,actual,Retail,RWF,200.0,0.1909
2016-11-15,Southern Province,Nyamagabe,Kigeme (Camp),-2.4826035499572754,29.522727966308597,cereals and tubers,Potatoes (Irish),KG,actual,Retail,RWF,250.0,0.2386
